name,institution,homepage,scholarid,region,countryabbrv,Gender
A Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,europe,at,unknown
A. Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,europe,at,unknown
Agata Ciabattoni,TU Wien,https://www.logic.at/staff/agata,pAyqI0wAAAAJ,europe,at,female
Alexander Leitsch,TU Wien,https://www.logic.at/staff/leitsch,NOSCHOLARPAGE,europe,at,male
Allan Hanbury,TU Wien,http://allan.hanbury.eu/doku.php,_hR4cSAAAAAJ,europe,at,male
Andreas Krall,TU Wien,http://www.complang.tuwien.ac.at/andi,rOiruA4AAAAJ,europe,at,male
Andreas Rauber,TU Wien,http://www.ifs.tuwien.ac.at/~andi,ZF9JHnUAAAAJ,europe,at,male
Andreas Steininger,TU Wien,https://ti.tuwien.ac.at/ecs/people/steininger,vcRJrxIAAAAJ,europe,at,male
Axel Jantsch,TU Wien,http://jantsch.se/AxelJantsch,ZF4gC44AAAAJ,europe,at,male
Chris Fermüller,TU Wien,https://www.logic.at/staffpages/chrisf,-6IV5oIAAAAJ,europe,at,mostly_male
Christian Breiteneder,TU Wien,https://www.ims.tuwien.ac.at/people/christian-breiteneder,AvNBy7MAAAAJ,europe,at,male
Christian G. Fermüller,TU Wien,https://www.logic.at/staffpages/chrisf,-6IV5oIAAAAJ,europe,at,male
Christian Huemer,TU Wien,https://www.big.tuwien.ac.at/people/chuemer,jJ7BjEoAAAAJ,europe,at,male
Dieter Merkl,TU Wien,http://www.ifs.tuwien.ac.at/~dieter,iWaenYYAAAAJ,europe,at,male
Eduard Gröller,TU Wien,https://www.cg.tuwien.ac.at/staff/EduardGroeller.html,eBsjFlIAAAAJ,europe,at,male
Eva Kühn,TU Wien,http://www.complang.tuwien.ac.at/eva,NOSCHOLARPAGE,europe,at,female
Eva Maria Kuehn,TU Wien,http://www.complang.tuwien.ac.at/eva,NOSCHOLARPAGE,europe,at,female
Eva Maria Kühn,TU Wien,http://www.complang.tuwien.ac.at/eva,NOSCHOLARPAGE,europe,at,female
Ezio Bartocci,TU Wien,http://www.eziobartocci.com,EeK43rAAAAAJ,europe,at,male
Florian Zuleger,TU Wien,https://forsyte.at/people/zuleger,UckwzkEAAAAJ,europe,at,male
Franz Puntigam,TU Wien,http://www.complang.tuwien.ac.at/franz,NOSCHOLARPAGE,europe,at,male
Georg Fuchsbauer,TU Wien,http://www.di.ens.fr/~fuchsbau,CxHsVWwAAAAJ,europe,at,male
Georg Weissenbacher,TU Wien,http://www.georg.weissenbacher.science,1KfaH-QAAAAJ,europe,at,male
Gerald Futschek,TU Wien,https://www.ifs.tuwien.ac.at/futschek,oLXK500AAAAJ,europe,at,male
Gerald Steinhardt,TU Wien,https://media.tuwien.ac.at/people/steinhardt,NOSCHOLARPAGE,europe,at,male
Geraldine Fitzpatrick,TU Wien,http://igw.tuwien.ac.at/hci/people/gfitzpatrick,aUPpNvEAAAAJ,europe,at,female
Gernot Salzer,TU Wien,https://www.logic.at/staffpages/salzer,O5y-QJgAAAAJ,europe,at,male
Gerti Kappel,TU Wien,https://www.big.tuwien.ac.at/people/gkappel,Rdz0vc8AAAAJ,europe,at,female
Günther R. Raidl,TU Wien,https://www.ac.tuwien.ac.at/people/raidl,NOSCHOLARPAGE,europe,at,male
Günther Raidl,TU Wien,https://www.ac.tuwien.ac.at/people/raidl,NOSCHOLARPAGE,europe,at,male
Hannes Werthner,TU Wien,http://www.ec.tuwien.ac.at/~werthner,XBd3IdIAAAAJ,europe,at,male
Hans Tompits,TU Wien,http://www.kr.tuwien.ac.at/staff/tompits,8MkHO0UAAAAJ,europe,at,male
Hilda Tellioglu,TU Wien,http://hildatellioglu.com,NOSCHOLARPAGE,europe,at,female
Hilda Tellioğlu,TU Wien,http://hildatellioglu.com,NOSCHOLARPAGE,europe,at,female
Ivona Brandic,TU Wien,http://www.ec.tuwien.ac.at/~ivona,XFg7Ri8AAAAJ,europe,at,female
Jens Knoop,TU Wien,http://www.complang.tuwien.ac.at/knoop,NOSCHOLARPAGE,europe,at,male
Jesper Larsson Träff,TU Wien,http://www.traff-industries.de,NOSCHOLARPAGE,europe,at,male
Johann Blieberger,TU Wien,https://www.auto.tuwien.ac.at/index.php/projectsites/185-johann-blieberger,NOSCHOLARPAGE,europe,at,male
Jürgen Cito,TU Wien,http://people.csail.mit.edu/jcito,fj5MiWsAAAAJ,europe,at,male
Jürgen Dorn,TU Wien,http://www.ec.tuwien.ac.at/~dorn,sU9DTeYAAAAJ,europe,at,male
Laura Ildikó Kovács,TU Wien,https://forsyte.at/people/kovacs,X4K5SpIAAAAJ,europe,at,female
Laura Kovacs,TU Wien,https://forsyte.at/people/kovacs,X4K5SpIAAAAJ,europe,at,female
Laura Kovács,TU Wien,https://forsyte.at/people/kovacs,X4K5SpIAAAAJ,europe,at,female
M. Anton Ertl,TU Wien,http://www.complang.tuwien.ac.at/anton,NOSCHOLARPAGE,europe,at,unknown
M. Eduard Gröller,TU Wien,https://www.cg.tuwien.ac.at/staff/EduardGroeller.html,eBsjFlIAAAAJ,europe,at,unknown
Margit Pohl,TU Wien,http://igw.tuwien.ac.at/hci/people/mpohl,NOSCHOLARPAGE,europe,at,female
Margrit Gelautz,TU Wien,https://www.ims.tuwien.ac.at/people/margrit-gelautz,K-7h4K8AAAAJ,europe,at,female
Maria Christakis,TU Wien,https://mariachris.github.io,QbHnrKgAAAAJ,europe,at,female
Martin Nöllenburg,TU Wien,https://www.ac.tuwien.ac.at/people/noellenburg,Wum9ploAAAAJ,europe,at,male
Martina Lindorfer,TU Wien,https://secpriv.tuwien.ac.at/team/martina,9JCtsecAAAAJ,europe,at,female
Matteo Maffei,TU Wien,https://secpriv.tuwien.ac.at/team/univ_prof_matteo_maffei,WWM2IcAAAAAJ,europe,at,male
Meister Eduard Gröller,TU Wien,https://www.cg.tuwien.ac.at/staff/EduardGroeller.html,eBsjFlIAAAAJ,europe,at,unknown
Michael Wimmer 0001,TU Wien,https://www.cg.tuwien.ac.at/staff/MichaelWimmer.html,pPLc_DoAAAAJ,europe,at,male
Nysret Musliu,TU Wien,https://informatics.tuwien.ac.at/people/nysret-musliu,35owm6EAAAAJ,europe,at,male
Pavol Cerný,TU Wien,https://cernyp.github.io,FQm9ZGgAAAAJ,europe,at,male
Peter P. Puschner,TU Wien,https://ti.tuwien.ac.at/cps/people/puschner,ayCheRcAAAAJ,europe,at,male
Peter Purgathofer,TU Wien,http://igw.tuwien.ac.at/hci/people/ppurgathofer,NOSCHOLARPAGE,europe,at,male
Peter Puschner,TU Wien,https://ti.tuwien.ac.at/cps/people/puschner,ayCheRcAAAAJ,europe,at,male
Radu Grosu,TU Wien,https://ti.tuwien.ac.at/cps/people/grosu,1g_muAgAAAAJ,europe,at,male
Reinhard Pichler,TU Wien,https://www.dbai.tuwien.ac.at/staff/pichler,OiYGd-IAAAAJ,europe,at,male
Robert Ganian,TU Wien,https://www.ac.tuwien.ac.at/people/rganian,nNem5xIAAAAJ,europe,at,male
Robert Sablatnig,TU Wien,https://cvl.tuwien.ac.at/staff/robert-sablatnig,iMlKiaEAAAAJ,europe,at,male
Rudolf Freund,TU Wien,https://www.logic.at/staff/rudi/indexe.html,ATDSEUwAAAAJ,europe,at,male
Sascha Hunold,TU Wien,https://hunoldscience.net,b5ezk4YAAAAJ,europe,at,mostly_male
Schahram Dustdar,TU Wien,https://dsg.tuwien.ac.at/team/sd,0n5S6uUAAAAJ,europe,at,unknown
Scharam Dustdar,TU Wien,https://dsg.tuwien.ac.at/team/sd,0n5S6uUAAAAJ,europe,at,unknown
Silvia Miksch,TU Wien,https://www.cvast.tuwien.ac.at/team/silvia-miksch,1ikFBekAAAAJ,europe,at,female
Stefan Biffl,TU Wien,http://qse.ifs.tuwien.ac.at/people/stefan-biffl,NOSCHOLARPAGE,europe,at,male
Stefan Szeider,TU Wien,https://www.ac.tuwien.ac.at/people/szeider,lJYKhNIAAAAJ,europe,at,male
Stefan Woltran,TU Wien,https://www.dbai.tuwien.ac.at/staff/woltran,NOSCHOLARPAGE,europe,at,male
Thomas Eiter,TU Wien,http://www.kr.tuwien.ac.at/staff/eiter,X1L03cIAAAAJ,europe,at,male
Thomas Grechenig,TU Wien,https://www.big.tuwien.ac.at/people/tgrechenig,NOSCHOLARPAGE,europe,at,male
Thomas Gärtner 0001,TU Wien,https://informatics.tuwien.ac.at/people/thomas-gaertner,sOI8QyoAAAAJ,europe,at,male
Ulrich Schmid 0001,TU Wien,https://ti.tuwien.ac.at/ecs/people/schmid,NOSCHOLARPAGE,europe,at,male
Uwe Egly,TU Wien,http://www.kr.tuwien.ac.at/staff/egly,NOSCHOLARPAGE,europe,at,male
Walter G. Kropatsch,TU Wien,https://www.prip.tuwien.ac.at/people/krw/more/index.php,NOSCHOLARPAGE,europe,at,male
Werner Purgathofer,TU Wien,https://www.cg.tuwien.ac.at/staff/WernerPurgathofer.html,NOSCHOLARPAGE,europe,at,male
Wolfgang Hofkirchner,TU Wien,http://igw.tuwien.ac.at/hci/people/whofkirchner,MxJLB5sAAAAJ,europe,at,male
Wolfgang Kastner,TU Wien,https://www.auto.tuwien.ac.at/index.php/projectsites/142-wolfgang-kastner,HXWWcJYAAAAJ,europe,at,male
A. Akbari Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,asia,ir,unknown
A. Akbariazirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,asia,ir,unknown
Adel Rahmani,IUST,http://www.iust.ac.ir/content/18919/Dr.Torkaman-Rahmani,NOSCHOLARPAGE,asia,ir,male
Adel Torkaman Rahmani,IUST,http://www.iust.ac.ir/content/18919/Dr.Torkaman-Rahmani,NOSCHOLARPAGE,asia,ir,male
Ahmad Akbari,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,asia,ir,male
Ahmad Akbari Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,asia,ir,male
Amir Mahdi Hosseini Monazzah,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=18700&sid=14&slc_lang=en,C4yrITAAAAAJ,asia,ir,male
Behrooz Minaei,IUST,http://ce.iust.ac.ir/content/544/Dr.-Behrouz-Minaei,M8tgU-wAAAAJ,asia,ir,unknown
Behrooz Minaei-Bidgoli,IUST,http://ce.iust.ac.ir/content/544/Dr.-Behrouz-Minaei,M8tgU-wAAAAJ,asia,ir,unknown
Behrouz Minaei,IUST,http://ce.iust.ac.ir/content/544/Dr.-Behrouz-Minaei,M8tgU-wAAAAJ,asia,ir,male
Behrouz Minaei-Bidgoli,IUST,http://ce.iust.ac.ir/content/544/Dr.-Behrouz-Minaei,M8tgU-wAAAAJ,asia,ir,male
Eynollah Khanjari,IUST,http://www.iust.ac.ir/content/22145/Dr.Khanjari,7o0YDzkAAAAJ,asia,ir,unknown
Eynollah Khanjari Miyaneh,IUST,http://www.iust.ac.ir/content/22145/Dr.Khanjari,7o0YDzkAAAAJ,asia,ir,unknown
Hakem Beitollahi,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=18185&sid=14&slc_lang=en,SMnMHbQAAAAJ,asia,ir,unknown
Hassan Naderi,IUST,http://www.iust.ac.ir/content/18922/Dr.-Naderi,-47I2ZIAAAAJ,asia,ir,male
Mahdi Fazeli,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=11585&sid=14&slc_lang=en,XeHQnLMAAAAJ,asia,ir,male
Mahmoud Fathy,IUST,http://ce.iust.ac.ir/content/579/Mahmoud-Fathy,NOSCHOLARPAGE,asia,ir,male
Mehrdad Ashtiani,IUST,http://www.iust.ac.ir/page.php?slct_pg_id=18184&sid=14&slc_lang=en,dsdZaDAAAAAJ,asia,ir,male
